backend_1  | 2021-09-07T21:17:32.356716947Z 172.18.0.4 - - [07/Sep/2021 21:17:32] "GET /fibonacci HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:32.357429491Z 84.18.98.126 - - [07/Sep/2021:21:17:32 +0000] "GET /fibonacci HTTP/1.1" 200 13 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:32.766226819Z 172.18.0.4 - - [07/Sep/2021 21:17:32] "GET /fibonacci HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:32.766901364Z 84.18.98.126 - - [07/Sep/2021:21:17:32 +0000] "GET /fibonacci HTTP/1.1" 200 13 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:33.175881984Z 172.18.0.4 - - [07/Sep/2021 21:17:33] "GET /fibonacci HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:33.177045518Z 84.18.98.126 - - [07/Sep/2021:21:17:33 +0000] "GET /fibonacci HTTP/1.1" 200 13 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:33.587274282Z 172.18.0.4 - - [07/Sep/2021 21:17:33] "GET /fibonacci HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:33.588312119Z 84.18.98.126 - - [07/Sep/2021:21:17:33 +0000] "GET /fibonacci HTTP/1.1" 200 13 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:33.998017192Z 172.18.0.4 - - [07/Sep/2021 21:17:33] "GET /fibonacci HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:33.999091353Z 84.18.98.126 - - [07/Sep/2021:21:17:33 +0000] "GET /fibonacci HTTP/1.1" 200 13 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:34.407614570Z 172.18.0.4 - - [07/Sep/2021 21:17:34] "GET /fibonacci HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:34.408655466Z 84.18.98.126 - - [07/Sep/2021:21:17:34 +0000] "GET /fibonacci HTTP/1.1" 200 13 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:34.815198119Z 172.18.0.4 - - [07/Sep/2021 21:17:34] "GET /fibonacci HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:34.816223033Z 84.18.98.126 - - [07/Sep/2021:21:17:34 +0000] "GET /fibonacci HTTP/1.1" 200 13 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:35.224948383Z 172.18.0.4 - - [07/Sep/2021 21:17:35] "GET /fibonacci HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:35.225954618Z 84.18.98.126 - - [07/Sep/2021:21:17:35 +0000] "GET /fibonacci HTTP/1.1" 200 13 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:35.636969515Z 172.18.0.4 - - [07/Sep/2021 21:17:35] "GET /fibonacci HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:35.638004374Z 84.18.98.126 - - [07/Sep/2021:21:17:35 +0000] "GET /fibonacci HTTP/1.1" 200 14 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:36.044669210Z 172.18.0.4 - - [07/Sep/2021 21:17:36] "GET /fibonacci HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:36.045739111Z 84.18.98.126 - - [07/Sep/2021:21:17:36 +0000] "GET /fibonacci HTTP/1.1" 200 14 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:36.452367890Z 172.18.0.4 - - [07/Sep/2021 21:17:36] "GET /fibonacci HTTP/1.0" 200 -
nginx_1    | 2021-09-07T21:17:36.453411968Z 84.18.98.126 - - [07/Sep/2021:21:17:36 +0000] "GET /fibonacci HTTP/1.1" 200 14 "-" "python-requests/2.24.0"
backend_1  | 2021-09-07T21:17:36.861713817Z 172.18.0.4 - - [07/Sep/2021 21:17:36] "GET /fibonacci HTTP/1.0" 200 -
